input_var,output_var,weight_variable
1.111111111111111072e+01,7.443084774982450247e-02,0.000000000000000000e+00
2.222222222222222854e+01,7.473285414054678388e-02,0.000000000000000000e+00
3.333333333333334281e+01,7.686199919513878043e-02,0.000000000000000000e+00
4.444444444444444287e+01,8.264542157747020723e-02,0.000000000000000000e+00
5.555555555555555713e+01,9.391025995141082106e-02,0.000000000000000000e+00
6.666666666666667140e+01,1.124836529808303509e-01,0.000000000000000000e+00
7.777777777777777146e+01,1.401927393295984703e-01,0.000000000000000000e+00
8.888888888888888573e+01,1.788646576615849360e-01,0.000000000000000000e+00
1.000000000000000000e+02,2.303265466406594630e-01,0.000000000000000000e+00
2.222222222222222143e+01,1.271460632503964572e-01,0.000000000000000000e+00
3.333333333333334281e+01,1.274480696411187386e-01,0.000000000000000000e+00
4.444444444444444287e+01,1.295772146957107074e-01,0.000000000000000000e+00
5.555555555555555713e+01,1.353606370780421619e-01,0.000000000000000000e+00
6.666666666666667140e+01,1.466254754519827896e-01,0.000000000000000000e+00
7.777777777777777146e+01,1.651988684814023056e-01,0.000000000000000000e+00
8.888888888888888573e+01,1.929079548301704250e-01,0.000000000000000000e+00
1.000000000000000000e+02,2.315798731621568907e-01,0.000000000000000000e+00
3.333333333333332860e+01,1.669052045889830860e-01,0.000000000000000000e+00
4.444444444444443576e+01,1.672072109797053396e-01,0.000000000000000000e+00
5.555555555555555003e+01,1.693363560342973362e-01,0.000000000000000000e+00
6.666666666666665719e+01,1.751197784166287907e-01,0.000000000000000000e+00
7.777777777777777146e+01,1.863846167905694184e-01,0.000000000000000000e+00
8.888888888888888573e+01,2.049580098199889344e-01,0.000000000000000000e+00
1.000000000000000000e+02,2.326670961687570538e-01,0.000000000000000000e+00
4.444444444444444287e+01,1.955354104294541318e-01,0.000000000000000000e+00
5.555555555555555713e+01,1.958374168201764132e-01,0.000000000000000000e+00
6.666666666666667140e+01,1.979665618747684097e-01,0.000000000000000000e+00
7.777777777777777146e+01,2.037499842570998643e-01,0.000000000000000000e+00
8.888888888888888573e+01,2.150148226310404642e-01,0.000000000000000000e+00
1.000000000000000000e+02,2.335882156604599802e-01,0.000000000000000000e+00
5.555555555555555713e+01,2.148638194356793096e-01,0.000000000000000000e+00
6.666666666666667140e+01,2.151658258264015910e-01,0.000000000000000000e+00
7.777777777777777146e+01,2.172949708809935876e-01,0.000000000000000000e+00
8.888888888888888573e+01,2.230783932633250422e-01,0.000000000000000000e+00
1.000000000000000000e+02,2.343432316372656421e-01,0.000000000000000000e+00
6.666666666666665719e+01,2.267175702715283625e-01,0.000000000000000000e+00
7.777777777777777146e+01,2.270195766622506162e-01,0.000000000000000000e+00
8.888888888888888573e+01,2.291487217168426127e-01,0.000000000000000000e+00
1.000000000000000000e+02,2.349321440991740673e-01,0.000000000000000000e+00
7.777777777777777146e+01,2.329238016008709777e-01,0.000000000000000000e+00
8.888888888888888573e+01,2.332258079915932591e-01,0.000000000000000000e+00
1.000000000000000000e+02,2.353549530461852279e-01,0.000000000000000000e+00
8.888888888888888573e+01,2.353096520875768982e-01,0.000000000000000000e+00
1.000000000000000000e+02,2.356116584782991519e-01,0.000000000000000000e+00
1.111111111111111072e+01,4.795410570016950258e-02,1.000000000000000000e+00
2.222222222222222854e+01,4.797095862971539199e-02,1.000000000000000000e+00
3.333333333333334281e+01,4.822543786585833936e-02,1.000000000000000000e+00
4.444444444444444287e+01,4.932930475111416135e-02,1.000000000000000000e+00
5.555555555555555713e+01,5.230216152300921906e-02,1.000000000000000000e+00
6.666666666666667140e+01,5.857145131408043881e-02,1.000000000000000000e+00
7.777777777777777146e+01,6.997245815187527751e-02,1.000000000000000000e+00
8.888888888888888573e+01,8.874830695895173649e-02,1.000000000000000000e+00
1.000000000000000000e+02,1.175499635528784032e-01,1.000000000000000000e+00
2.222222222222222143e+01,7.781274739352431191e-02,1.000000000000000000e+00
3.333333333333334281e+01,7.782960032307020826e-02,1.000000000000000000e+00
4.444444444444444287e+01,7.808407955921314869e-02,1.000000000000000000e+00
5.555555555555555713e+01,7.918794644446897069e-02,1.000000000000000000e+00
6.666666666666667140e+01,8.216080321636402839e-02,1.000000000000000000e+00
7.777777777777777146e+01,8.843009300743524814e-02,1.000000000000000000e+00
8.888888888888888573e+01,9.983109984523010072e-02,1.000000000000000000e+00
1.000000000000000000e+02,1.186069486523065458e-01,1.000000000000000000e+00
3.333333333333332860e+01,9.738436089206764512e-02,1.000000000000000000e+00
4.444444444444443576e+01,9.740121382161352759e-02,1.000000000000000000e+00
5.555555555555555003e+01,9.765569305775648190e-02,1.000000000000000000e+00
6.666666666666665719e+01,9.875955994301229002e-02,1.000000000000000000e+00
7.777777777777777146e+01,1.017324167149073616e-01,1.000000000000000000e+00
8.888888888888888573e+01,1.080017065059785814e-01,1.000000000000000000e+00
1.000000000000000000e+02,1.194027133437734062e-01,1.000000000000000000e+00
4.444444444444444287e+01,1.093569884583689977e-01,1.000000000000000000e+00
5.555555555555555713e+01,1.093738413879148802e-01,1.000000000000000000e+00
6.666666666666667140e+01,1.096283206240578345e-01,1.000000000000000000e+00
7.777777777777777146e+01,1.107321875093136565e-01,1.000000000000000000e+00
8.888888888888888573e+01,1.137050442812087142e-01,1.000000000000000000e+00
1.000000000000000000e+02,1.199743340722799340e-01,1.000000000000000000e+00
5.555555555555555713e+01,1.160108314599873625e-01,1.000000000000000000e+00
6.666666666666667140e+01,1.160276843895332449e-01,1.000000000000000000e+00
7.777777777777777146e+01,1.162821636256761854e-01,1.000000000000000000e+00
8.888888888888888573e+01,1.173860305109320074e-01,1.000000000000000000e+00
1.000000000000000000e+02,1.203588872828270789e-01,1.000000000000000000e+00
6.666666666666665719e+01,1.192182503694711321e-01,1.000000000000000000e+00
7.777777777777777146e+01,1.192351032990170284e-01,1.000000000000000000e+00
8.888888888888888573e+01,1.194895825351599689e-01,1.000000000000000000e+00
1.000000000000000000e+02,1.205934494204157909e-01,1.000000000000000000e+00
7.777777777777777146e+01,1.204437647643581827e-01,1.000000000000000000e+00
8.888888888888888573e+01,1.204606176939040790e-01,1.000000000000000000e+00
1.000000000000000000e+02,1.207150969300470195e-01,1.000000000000000000e+00
8.888888888888888573e+01,1.207440533271758737e-01,1.000000000000000000e+00
