Salinity,Ks,SAR
3.3078,0.773422336,15
3.726214808,0.788776041,15
4.197355557,0.799826527,15
4.728375109,0.817889666,15
5.326189081,0.82814326,15
5.99973637,0.841106288,15
6.758400089,0.853113045,15
7.612928837,0.864163532,15
8.575694216,0.877604695,15
9.66008654,0.889611452,15
10.88150308,0.900661939,15
12.25740936,0.912190561,15
13.80704614,0.921806641,15
15.55245681,0.930466451,15
17.51851268,0.93912626,15
19.73301885,0.947307935,15
22.22755833,0.955967745,15
25.03755494,0.96510569,15
28.20203834,0.971374823,15
31.76704349,0.979556497,15
35.42894007,0.985343047,15
40.18972707,0.993294129,15
44.93113262,0.998720508,15
60,1,15
80,1,15
100,1,15
200,1,15
400,1,15
600,1,15
800,1,15
3.235422298,0.525261188,25
3.645203587,0.556871495,25
4.106703183,0.583700449,25
4.626630757,0.610529402,25
5.212406712,0.637836491,25
5.872243211,0.663231038,25
6.615520003,0.68719118,25
7.452777448,0.709716915,25
8.396184299,0.734633327,25
9.458969917,0.759071603,25
10.65604587,0.781119203,25
12.00461726,0.803166803,25
13.52361627,0.823301861,25
15.23488883,0.843915055,25
17.1624764,0.863093843,25
19.33369352,0.880838224,25
21.77968707,0.899060741,25
24.53458954,0.914892581,25
27.63697635,0.926899339,25
31.13152017,0.93842796,25
35.06715111,0.947565906,25
39.50172604,0.960528934,25
44.49650227,0.972057555,25
50.1206144,0.978804824,25
56.45608472,0.986508363,25
63.59295177,0.995168172,25
68.8428812,0.997116296,25
80,1,25
100,1,25
200,1,25
400,1,25
600,1,25
800,1,25
3.486165283,0.023254642,50
3.927407789,0.046736648,50
4.424537482,0.071174925,50
4.984859322,0.101350826,50
5.616289784,0.134395539,50
6.265223577,0.166383907,50
6.851807389,0.196403024,50
7.493729676,0.232446646,50
8.195605812,0.266051778,50
8.874875732,0.300513106,50
9.610252966,0.332822825,50
10.40691063,0.36871856,50
11.26948341,0.403418955,50
12.20325209,0.435489607,50
13.21450851,0.468516529,50
14.45224155,0.502408542,50
15.80632067,0.539121554,50
17.28636204,0.570192569,50
19.09403537,0.605236555,50
21.09051631,0.639133016,50
23.52844255,0.67580711,50
26.50948893,0.711720635,50
29.86849827,0.748590431,50
33.65103419,0.778766332,50
37.91258909,0.808942233,50
42.71287724,0.836727457,50
48.11860112,0.859253193,50
54.20678583,0.87843198,50
61.06419056,0.895698226,50
68.78847711,0.912008202,50
77.48674627,0.924014959,50
87.28374429,0.93458731,50
98.31942086,0.945159662,50
110.748912,0.954297607,50
124.7513953,0.964869958,50
140.5217791,0.973529768,50
158.2864709,0.982667713,50
178.2922147,0.988936846,50
200.8336097,0.999031061,50
400,1,50
600,1,50
800,1,50
8.506539294,0.005963933,100
9.582570048,0.022273909,100
10.79500048,0.041452697,100
12.16126524,0.064456567,100
13.70130266,0.094154333,100
15.28375342,0.121456974,100
16.88146966,0.153058385,100
18.46227393,0.184655349,100
19.99206841,0.216965068,100
21.64876676,0.24999199,100
23.21279374,0.288991156,100
24.64369143,0.32535613,100
26.42314951,0.360530213,100
28.33072023,0.394269891,100
30.07523024,0.42394097,100
32.24745878,0.461027595,100
34.92043206,0.496206126,100
37.81597429,0.534253469,100
40.95160991,0.572300812,100
44.34517896,0.605327734,100
48.02028545,0.639071859,100
52.51914097,0.675115482,100
58.01118435,0.710159468,100
64.07617688,0.742908404,100
70.77525635,0.775657341,100
78.95101448,0.80496815,100
88.94815746,0.833709645,100
100.2085145,0.859582328,100
112.8903608,0.881629927,100
127.1748934,0.901764986,100
143.2662769,0.921421909,100
161.3886783,0.937731884,100
181.8018496,0.953085589,100
204.7978809,0.968917429,100
230.6975463,0.982358593,100
259.8679835,0.993887214,100
400,1,100
600,1,100
800,1,100
